,full_notation,energy,SCF_steps,magnetism,time_of_calculation
430,70_MC_9_8,-69.334657, 81,2.00,47.86m
431,129_MOCM_5_11,-66.630705, 97,1.99,52.11m
432,84_MOCMHnbond_7_2,-69.067861, 83,2.00,49.07m
433,131_MC_3_8,-70.205622,143,3.00,77.97m
434,123_MOCM_9_10,-66.583482, 99,1.96,65.15m
435,100_MOCMHnbond_2_8,-69.509197, 86,3.00,43.64m
436,62_MC_9_3,-69.384109, 69,2.00,40.30m
437,127_MC_7_11,-70.173543, 71,3.00,36.65m
438,107_MC_8_2,-69.065698, 80,3.00,54.26m
439,74_MC_7_12,-68.280156, 78,2.00,46.86m
440,84_MC_9_4,-68.320160, 79,2.00,46.64m
441,100_MOCM_5_4,-65.654410, 79,3.67,40.54m
442,63_MOCMHnbond_5_11,-70.071496, 86,2.00,51.77m
443,58_MC_1_5,-69.289354, 69,2.00,53.75m
444,85_MOCMHnbond_10_4,-69.114198, 82,2.00,48.76m
445,67_MC_11_10,-69.437788, 73,2.00,42.47m
446,109_MC_5_6,-69.092910, 98,3.00,52.55m
447,106_MOCMHnbond_1_5,-69.379492, 80,3.00,41.80m
448,120_MC_5_10,-70.180031, 64,3.00,34.62m
449,111_MC_3_9,-70.096791, 80,3.00,42.04m
450,104_MOCMHnbond_8_3,-69.387116, 83,3.00,43.32m
451,66_MOCM_11_5,-66.516491, 69,1.00,35.51m
452,125_MOCM_2_8,-66.660376, 76,3.46,51.66m
